,from,mid,last,TA,S,predict,real
86,512431,512433,512274,Default Transition,Default Rephrase,,Default Illocuting
87,512436,512438,512334,Default Transition,Default Inference,,Arguing
88,512440,512442,512336,Default Transition,Default Inference,,Arguing
89,512356,512446,512444,Default Transition,Default Rephrase,,Default Illocuting
90,512466,512472,512470,Default Transition,Default Rephrase,,Restating
91,512468,512473,512471,Default Transition,Default Rephrase,,Restating
92,512483,512485,512479,Default Transition,Default Inference,,Arguing
93,512489,512492,512487,Default Transition,Default Inference,,Arguing
94,512498,512502,512500,Default Transition,Default Rephrase,,Restating
95,512474,512506,512504,Default Transition,Default Rephrase,,Restating
96,512513,512515,512477,Default Transition,Default Inference,,Arguing
97,512511,512518,512476,Default Transition,Default Inference,,Arguing
98,512509,512520,512475,Default Transition,Default Inference,,Arguing
99,512522,512524,512478,Default Transition,Default Inference,,Arguing
100,512528,512530,512526,Default Transition,Default Rephrase,,Restating
101,512534,512536,512532,Default Transition,Default Rephrase,,Restating
102,512558,512559,512557,Default Transition,Default Rephrase,,Default Illocuting
103,512561,512562,512560,Default Transition,Default Inference,,Arguing
104,512566,512568,512567,Default Transition,Default Inference,,Arguing
105,512569,512571,512570,Default Transition,Default Inference,,Arguing
106,512572,512574,512573,Default Transition,Default Inference,,Arguing
107,512575,512577,512576,Default Transition,Default Inference,,Arguing
108,512598,512599,512597,Default Transition,Default Rephrase,,Restating
109,512604,512606,512605,Default Transition,Default Inference,,Arguing
110,512621,512623,512622,Default Transition,Default Rephrase,,Restating
111,512633,512635,512634,Default Transition,Default Inference,,Arguing
112,512640,512642,512641,Default Transition,Default Inference,,Arguing
113,512652,512653,512651,Default Transition,Default Rephrase,,Restating
114,512656,512657,512655,Default Transition,Default Inference,,Arguing
115,512681,512682,512679,Default Transition,Default Inference,,Arguing
116,512697,512698,512696,Default Transition,Default Rephrase,,Restating
117,512712,512714,512713,Default Transition,Default Inference,,Arguing
118,512727,512728,512726,Default Transition,Default Inference,,Arguing
119,512733,512734,512732,Default Transition,Default Conflict,,Disagreeing
120,512739,512740,512738,Default Transition,Default Rephrase,,Restating
121,512743,512744,512742,Default Transition,Default Rephrase,,Restating
122,512747,512748,512746,Default Transition,Default Conflict,,Disagreeing
123,512846,512850,512849,Default Transition,Default Inference,,Arguing
124,512860,512862,512861,Default Transition,Default Inference,,Arguing
125,512868,512869,512867,Default Transition,Default Rephrase,,Restating
126,512883,512885,512884,Default Transition,Default Rephrase,,Restating
127,512887,512888,512886,Default Transition,Default Inference,,Arguing
128,512920,512922,512921,Default Transition,Default Inference,,Arguing
129,512932,512934,512933,Default Transition,Default Inference,,Arguing
130,512940,512941,512939,Default Transition,Default Inference,,Arguing
131,512951,512952,512950,Default Transition,Default Inference,,Arguing
132,512958,512959,512957,Default Transition,Default Inference,,Arguing
133,512874,512968,512967,Default Transition,Default Inference,,Arguing
134,512975,512976,512973,Default Transition,Default Inference,,Arguing
135,512906,512978,512977,Default Transition,Default Rephrase,,Restating
136,512980,512981,512979,Default Transition,Default Inference,,Arguing
137,512983,512984,512982,Default Transition,Default Inference,,Arguing
138,513005,513006,513002,Default Transition,Default Inference,,Arguing
139,513011,513013,513012,Default Transition,Default Rephrase,,Restating
140,513027,513029,513028,Default Transition,Default Conflict,,Disagreeing
141,513038,513040,513039,Default Transition,Default Conflict,,Disagreeing
142,513045,513046,513041,Default Transition,Default Inference,,Arguing
143,513073,513075,513074,Default Transition,Default Rephrase,,Restating
144,513076,513078,513077,Default Transition,Default Rephrase,,Restating
145,513091,513092,513079,Default Transition,Default Inference,,Arguing
146,513198,513200,513199,Default Transition,Default Inference,,Arguing
147,513218,513220,513219,Default Transition,Default Inference,,Arguing
148,513231,513233,513232,Default Transition,Default Inference,,Arguing
149,513238,513240,513239,Default Transition,Default Inference,,Arguing
150,513246,513247,513245,Default Transition,Default Rephrase,,Restating
151,513252,513254,513253,Default Transition,Default Rephrase,,Restating
152,513269,513271,513270,Default Transition,Default Inference,,Arguing
153,513277,513278,513276,Default Transition,Default Inference,,Arguing
154,513264,513280,513279,Default Transition,Default Rephrase,,Restating
155,513297,513299,513298,Default Transition,Default Rephrase,,Restating
156,513306,513307,513305,Default Transition,Default Inference,,Arguing
157,513205,513314,513313,Default Transition,Default Inference,,Arguing
158,513329,513331,513330,Default Transition,Default Rephrase,,Default Illocuting
159,513346,513348,513347,Default Transition,Default Inference,,Arguing
160,513353,513355,513354,Default Transition,Default Rephrase,,Restating
161,513360,513362,513361,Default Transition,Default Inference,,Arguing
162,513373,513374,513372,Default Transition,Default Rephrase,,Restating
163,513385,513387,513386,Default Transition,Default Rephrase,,Restating
164,513392,513394,513393,Default Transition,Default Rephrase,,Default Illocuting
165,513404,513406,513405,Default Transition,Default Inference,,Arguing
166,513415,513417,513416,Default Transition,Default Rephrase,,Restating
167,513422,513424,513423,Default Transition,Default Inference,,Arguing
168,513439,513441,513440,Default Transition,Default Conflict,,Disagreeing
169,513442,513443,513340,Default Transition,Default Inference,,Arguing
170,513367,513445,513444,Default Transition,Default Rephrase,,Restating
171,513756,513758,513757,Default Transition,Default Rephrase,,Default Illocuting
172,513810,513811,513809,Default Transition,Default Inference,,Arguing
173,513807,513812,513808,Default Transition,Default Inference,,Arguing
174,513786,513813,513785,Default Transition,Default Inference,,Arguing
175,513819,513820,513818,Default Transition,Default Inference,,Arguing
176,513829,513831,513830,Default Transition,Default Inference,,Arguing
177,513763,513832,513764,Default Transition,Default Inference,,Arguing
178,513871,513879,513872,Default Transition,Default Inference,,Arguing
179,513884,513886,513885,Default Transition,Default Inference,,Arguing
180,513892,513893,513891,Default Transition,Default Inference,,Pure Questioning
181,513898,513900,513899,Default Transition,Default Rephrase,,Restating
182,513910,513912,513911,Default Transition,Default Inference,,Arguing
183,513921,513923,513919,Default Transition,Default Inference,,Arguing
184,513936,513940,513938,Default Transition,Default Inference,,Arguing
185,513950,513954,513952,Default Transition,Default Inference,,Arguing
186,513964,513968,513966,Default Transition,Default Rephrase,,Restating
187,513990,513992,513988,Default Transition,Default Inference,,Pure Questioning
188,514011,514013,514010,Default Transition,Default Conflict,,Disagreeing
189,514018,514019,514015,Default Transition,Default Rephrase,,Restating
190,514039,514043,514041,Default Transition,Default Rephrase,,Restating
191,514047,514049,514045,Default Transition,Default Rephrase,,Restating
192,514060,514062,514058,Default Transition,Default Inference,,Arguing
193,514085,514086,514082,Default Transition,Default Inference,,Arguing
194,514098,514100,514096,Default Transition,Default Inference,,Arguing
195,514112,514114,514110,Default Transition,Default Inference,,Arguing
196,514123,514127,514125,Default Transition,Default Inference,,Arguing
197,514141,514142,514140,Default Transition,Default Inference,,Arguing
198,514147,514149,514148,Default Transition,Default Inference,,Arguing
199,513983,513987,513986,Default Transition,Default Rephrase,,Restating
200,514109,514111,514107,Default Transition,Default Rephrase,,Restating
201,514117,514122,514115,Default Transition,Default Rephrase,,Default Illocuting
202,514097,514126,514124,Default Transition,Default Inference,,Arguing
203,514008,514132,514128,Default Transition,Default Inference,,Arguing
204,514113,514134,514130,Default Transition,Default Inference,,Arguing
205,514059,514139,514136,Default Transition,Default Inference,,Arguing
206,514165,514167,514166,Default Transition,Default Rephrase,,Restating
207,514180,514197,514196,Default Transition,Default Inference,,Arguing
208,514202,514204,514203,Default Transition,Default Inference,,Arguing
209,514214,514216,514215,Default Transition,Default Inference,,Arguing
210,514221,514223,514222,Default Transition,Default Inference,,Arguing
211,514228,514230,514229,Default Transition,Default Rephrase,,Restating
212,514246,514247,514245,Default Transition,Default Inference,,Arguing
213,514253,514255,514252,Default Transition,Default Inference,,Arguing
214,514268,514270,514265,Default Transition,Default Rephrase,,Restating
215,514282,514284,514280,Default Transition,Default Inference,,Arguing
216,514310,514323,514321,Default Transition,Default Rephrase,,Restating
217,514331,514337,514335,Default Transition,Default Inference,,Arguing
218,514342,514343,514339,Default Transition,Default Rephrase,,Restating
219,514346,514348,514185,Default Transition,Default Rephrase,,Default Illocuting
220,514279,514283,514281,Default Transition,Default Inference,,Arguing
221,514313,514318,514315,Default Transition,Default Inference,,Arguing
222,514328,514332,514330,Default Transition,Default Conflict,,Disagreeing
223,514351,514353,514352,Default Transition,Default Inference,,Arguing
224,514355,514356,514354,Default Transition,Default Rephrase,,Restating
225,514269,514363,514362,Default Transition,Default Inference,,Arguing
226,514392,514394,514393,Default Transition,Default Inference,,Arguing
227,514409,514411,514410,Default Transition,Default Inference,,Arguing
228,514377,514413,514412,Default Transition,Default Inference,,Arguing
229,514418,514420,514419,Default Transition,Default Inference,,Arguing
230,514399,514448,514447,Default Transition,Default Rephrase,,Restating
231,514472,514474,514473,Default Transition,Default Inference,,Arguing
232,514475,514477,514476,Default Transition,Default Inference,,Arguing
233,514488,514489,514487,Default Transition,Default Rephrase,,Restating
234,514482,514492,514490,Default Transition,Default Inference,,Arguing
235,514528,514532,514530,Default Transition,Default Inference,,Arguing
236,514552,514559,514556,Default Transition,Default Rephrase,,Restating
237,514562,514569,514566,Default Transition,Default Rephrase,,Default Illocuting
238,514584,514590,514587,Default Transition,Default Inference,,Agreeing
239,514609,514612,514605,Default Transition,Default Rephrase,,Default Illocuting
240,514630,514632,514626,Default Transition,Default Rephrase,,Restating
241,514661,514667,514664,Default Transition,Default Rephrase,,Restating
242,514749,514752,514746,Default Transition,Default Rephrase,,Restating
243,514777,514781,514779,Default Transition,Default Rephrase,,Restating
244,514800,514804,514802,Default Transition,Default Inference,,Arguing
245,514790,514807,514806,Default Transition,Default Rephrase,,Default Illocuting
246,514812,514814,514810,Default Transition,Default Inference,,Arguing
247,514816,514818,514743,Default Transition,Default Inference,,Arguing
248,514838,514840,514836,Default Transition,Default Rephrase,,Restating
249,514849,514853,514852,Default Transition,Default Rephrase,,Restating
250,514863,514867,514865,Default Transition,Default Inference,,Arguing
251,514876,514880,514878,Default Transition,Default Rephrase,,Restating
252,514888,514889,514887,Default Transition,Default Rephrase,,Restating
253,514529,514534,514531,Default Transition,Default Inference,,Asserting
254,514570,514588,514585,Default Transition,Default Rephrase,,Restating
255,514611,514635,514631,Default Transition,Default Inference,,Arguing
256,514652,514655,514648,Default Transition,Default Conflict,,Disagreeing
257,514726,514732,514729,Default Transition,Default Conflict,,Disagreeing
258,514747,514754,514751,Default Transition,Default Inference,,Arguing
259,514789,514793,514791,Default Transition,Default Inference,,Arguing
260,514795,514799,514797,Default Transition,Default Inference,,Arguing
261,514801,514809,514803,Default Transition,Default Inference,,Arguing
262,514805,514811,514808,Default Transition,Default Inference,,Arguing
263,514813,514817,514815,Default Transition,Default Inference,,Arguing
264,514820,514824,514822,Default Transition,Default Inference,,Arguing
265,514830,514832,514828,Default Transition,Default Inference,,Arguing
266,514835,514837,514826,Default Transition,Default Inference,,Arguing
267,514841,514843,514839,Default Transition,Default Inference,,Arguing
268,514848,514851,514850,Default Transition,Default Inference,,Arguing
269,514858,514860,514856,Default Transition,Default Inference,,Arguing
270,514862,514866,514864,Default Transition,Default Inference,,Arguing
271,514870,514875,514873,Default Transition,Default Inference,,Arguing
272,514782,514879,514877,Default Transition,Default Inference,,Arguing
273,514784,514883,514881,Default Transition,Default Inference,,Arguing
274,515036,515038,515035,Default Transition,Default Inference,,Arguing
275,515043,515045,515041,Default Transition,Default Inference,,Arguing
276,515050,515051,515049,Default Transition,Default Rephrase,,Restating
277,515046,515053,515047,Default Transition,Default Rephrase,,Restating
278,515057,515059,515055,Default Transition,Default Inference,,Arguing
279,515062,515063,515060,Default Transition,Default Inference,,Arguing
280,515066,515067,515064,Default Transition,Default Inference,,Arguing
281,515082,515084,515081,Default Transition,Default Rephrase,,Restating
282,515087,515089,515085,Default Transition,Default Rephrase,,Default Illocuting
283,515092,515093,515091,Default Transition,Default Rephrase,,Restating
284,515097,515098,515095,Default Transition,Default Inference,,Arguing
285,515039,515106,515105,Default Transition,Default Rephrase,,Restating
286,515129,515131,515130,Default Transition,Default Inference,,Arguing
287,515154,515156,515152,Default Transition,Default Inference,,Arguing
288,515155,515157,515153,Default Transition,Default Inference,,Arguing
289,515160,515161,515158,Default Transition,Default Inference,,Arguing
290,515159,515163,515162,Default Transition,Default Inference,,Arguing
291,515165,515167,515166,Default Transition,Default Inference,,Arguing
292,515180,515181,515179,Default Transition,Default Rephrase,,Restating
293,515187,515188,515186,Default Transition,Default Inference,,Arguing
294,515195,515196,515194,Default Transition,Default Inference,,Arguing
295,515402,515404,515403,Default Transition,Default Inference,,Arguing
296,515414,515416,515415,Default Transition,Default Inference,,Arguing
297,515427,515428,515425,Default Transition,Default Inference,,Arguing
298,515429,515430,515426,Default Transition,Default Inference,,Arguing
299,515435,515437,515436,Default Transition,Default Rephrase,,Restating
300,515442,515479,515478,Default Transition,Default Rephrase,,Default Illocuting
301,515488,515490,515489,Default Transition,Default Inference,,Arguing
302,515504,515506,515505,Default Transition,Default Inference,,Arguing
303,515515,515516,515514,Default Transition,Default Rephrase,,Restating
304,515512,515518,515517,Default Transition,Default Inference,,Arguing
305,515522,515524,515523,Default Transition,Default Rephrase,,Default Illocuting
306,515529,515531,515530,Default Transition,Default Inference,,Arguing
307,515536,515537,515535,Default Transition,Default Rephrase,,Restating
308,515539,515540,515538,Default Transition,Default Inference,,Arguing
309,515597,515598,515594,Default Transition,Default Inference,,Arguing
310,515623,515625,515620,Default Transition,Default Rephrase,,Restating
311,515643,515646,515639,Default Transition,Default Rephrase,,Restating
312,515664,515667,515661,Default Transition,Default Rephrase,,Restating
313,515672,515677,515675,Default Transition,Default Rephrase,,Restating
314,515689,515693,515692,Default Transition,Default Rephrase,,Restating
315,515717,515719,515718,Default Transition,Default Inference,,Arguing
316,515730,515732,515731,Default Transition,Default Rephrase,,Restating
317,515748,515750,515749,Default Transition,Default Conflict,,Disagreeing
318,515755,515757,515756,Default Transition,Default Inference,,Arguing
319,515759,515761,515760,Default Transition,Default Inference,,Arguing
320,515766,515768,515767,Default Transition,Default Inference,,Arguing
321,538847,538849,538848,Default Transition,Default Inference,,Arguing
322,538855,538856,538854,Default Transition,Default Inference,,Arguing
323,538865,538867,538866,Default Transition,Default Inference,,Arguing
324,538885,538887,538886,Default Transition,Default Inference,,Arguing
325,538899,538901,538897,Default Transition,Default Inference,,Arguing
326,538911,538915,538913,Default Transition,Default Rephrase,,Restating
327,538925,538938,538928,Default Transition,Default Inference,,Arguing
328,538940,538943,538941,Default Transition,Default Rephrase,,Restating
329,538950,538953,538952,Default Transition,Default Rephrase,,Restating
330,538914,538918,538916,Default Transition,Default Rephrase,,Default Illocuting
331,538937,538942,538939,Default Transition,Default Inference,,Arguing
332,538951,538955,538954,Default Transition,Default Inference,,Arguing
333,538965,538967,538966,Default Transition,Default Inference,,Arguing
334,538968,538970,538969,Default Transition,Default Rephrase,,Default Illocuting
335,539014,539016,539015,Default Transition,Default Rephrase,,Restating
336,539021,539023,539022,Default Transition,Default Inference,,Arguing
337,539028,539030,539029,Default Transition,Default Rephrase,,Restating
338,539035,539037,539036,Default Transition,Default Inference,,Arguing
339,539042,539044,539043,Default Transition,Default Inference,,Arguing
340,539048,539051,539050,Default Transition,Default Inference,,Arguing
341,539134,539136,539135,Default Transition,Default Inference,,Arguing
342,539152,539154,539153,Default Transition,Default Inference,,Arguing
343,539165,539167,539166,Default Transition,Default Rephrase,,Restating
344,539177,539179,539176,Default Transition,Default Inference,,Arguing
345,539184,539187,539185,Default Transition,Default Inference,,Agreeing
346,539197,539202,539199,Default Transition,Default Inference,,Arguing
347,539129,539206,539204,Default Transition,Default Inference,,Arguing
348,539203,539205,539201,Default Transition,Default Rephrase,,Default Illocuting
349,539225,539226,539224,Default Transition,Default Inference,,Arguing
350,539209,539228,539227,Default Transition,Default Inference,,Arguing
351,539233,539235,539234,Default Transition,Default Inference,,Arguing
352,539245,539247,539246,Default Transition,Default Inference,,Arguing
353,539258,539260,539259,Default Transition,Default Inference,,Arguing
354,539265,539267,539266,Default Transition,Default Conflict,,Disagreeing
355,539273,539274,539272,Default Transition,Default Rephrase,,Restating
356,539279,539281,539280,Default Transition,Default Conflict,,Disagreeing
357,539292,539293,539291,Default Transition,Default Inference,,Arguing
358,539306,539308,539307,Default Transition,Default Inference,,Arguing
359,539315,539317,539316,Default Transition,Default Inference,,Arguing
360,539329,539331,539330,Default Transition,Default Inference,,Arguing
361,539341,539343,539342,Default Transition,Default Rephrase,,Default Illocuting
362,539348,539350,539349,Default Transition,Default Rephrase,,Restating
363,539360,539362,539361,Default Transition,Default Inference,,Arguing
364,539372,539374,539373,Default Transition,Default Rephrase,,Restating
365,539380,539381,539379,Default Transition,Default Rephrase,,Default Illocuting
366,539391,539393,539392,Default Transition,Default Rephrase,,Restating
367,539403,539405,539404,Default Transition,Default Rephrase,,Restating
368,539475,539476,539474,Default Transition,Default Inference,,Arguing
369,539478,539479,539477,Default Transition,Default Inference,,Arguing
370,539481,539482,539480,Default Transition,Default Inference,,Arguing
371,539484,539485,539483,Default Transition,Default Conflict,,Disagreeing
372,539488,539489,539486,Default Transition,Default Rephrase,,Restating
373,539492,539493,539491,Default Transition,Default Rephrase,,Restating
374,539494,539497,539496,Default Transition,Default Rephrase,,Restating
375,539499,539501,539500,Default Transition,Default Rephrase,,Restating
376,539498,539503,539502,Default Transition,Default Inference,,Arguing
377,539490,539506,539505,Default Transition,Default Rephrase,,Restating
378,539509,539510,539508,Default Transition,Default Rephrase,,Restating
379,539520,539522,539521,Default Transition,Default Rephrase,,Restating
380,539533,539534,539532,Default Transition,Default Rephrase,,Restating
381,539531,539536,539535,Default Transition,Default Conflict,,Disagreeing
382,539546,539548,539547,Default Transition,Default Inference,,Arguing
383,539553,539555,539554,Default Transition,Default Inference,,Arguing
384,539560,539562,539561,Default Transition,Default Inference,,Arguing
385,539572,539579,539578,Default Transition,Default Inference,,Arguing
386,539577,539580,539578,Default Transition,Default Inference,,Arguing
387,539585,539586,539578,Default Transition,Default Inference,,Arguing
388,539602,539604,539603,Default Transition,Default Conflict,,Disagreeing
389,539609,539611,539610,Default Transition,Default Conflict,,Disagreeing
390,539616,539618,539617,Default Transition,Default Inference,,Arguing
391,539623,539625,539624,Default Transition,Default Rephrase,,Restating
392,539632,539633,539631,Default Transition,Default Inference,,Arguing
393,539638,539640,539639,Default Transition,Default Rephrase,,Restating
394,539918,539920,539919,Default Transition,Default Inference,,Arguing
395,539895,539921,539894,Default Transition,Default Inference,,Arguing
396,539905,539922,539906,Default Transition,Default Inference,,Arguing
397,539907,539923,539908,Default Transition,Default Inference,,Arguing
398,539938,539940,539939,Default Transition,Default Inference,,Arguing
399,539956,539958,539957,Default Transition,Default Inference,,Arguing
400,539963,539970,539968,Default Transition,Default Inference,,Arguing
401,539977,539978,539976,Default Transition,Default Inference,,Arguing
402,539980,539981,539979,Default Transition,Default Inference,,Arguing
403,539997,539999,539998,Default Transition,Default Inference,,Arguing
404,540014,540016,540015,Default Transition,Default Inference,,Arguing
405,540039,540043,540040,Default Transition,Default Inference,,Arguing
406,540041,540044,540042,Default Transition,Default Conflict,,Restating
407,540045,540047,540046,Default Transition,Default Conflict,,Disagreeing
408,540049,540051,540050,Default Transition,Default Inference,,Arguing
409,540063,540065,540064,Default Transition,Default Rephrase,,Restating
410,540061,540067,540066,Default Transition,Default Rephrase,,Restating
411,540081,540083,540082,Default Transition,Default Inference,,Arguing
412,540098,540100,540099,Default Transition,Default Rephrase,,Restating
413,540106,540107,540105,Default Transition,Default Rephrase,,Restating
414,540112,540114,540113,Default Transition,Default Inference,,Arguing
415,540175,540176,540174,Default Transition,Default Rephrase,,Default Illocuting
416,540208,540210,540209,Default Transition,Default Inference,,Arguing
417,540212,540213,540211,Default Transition,Default Rephrase,,Restating
418,540186,540215,540214,Default Transition,Default Inference,,Arguing
419,540217,540218,540216,Default Transition,Default Inference,,Arguing
420,540220,540221,540219,Default Transition,Default Inference,,Arguing
421,540152,540223,540222,Default Transition,Default Conflict,,Disagreeing
422,540169,540225,540224,Default Transition,Default Inference,,Arguing
423,540245,540247,540246,Default Transition,Default Inference,,Arguing
424,540270,540271,540269,Default Transition,Default Rephrase,,Default Illocuting
425,540287,540289,540288,Default Transition,Default Inference,,Arguing
426,540304,540306,540305,Default Transition,Default Inference,,Arguing
427,540325,540327,540326,Default Transition,Default Inference,,Arguing
428,540352,540354,540353,Default Transition,Default Inference,,Arguing
429,540347,540356,540355,Default Transition,Default Rephrase,,Restating
430,540369,540371,540365,Default Transition,Default Inference,,Arguing
431,540397,540401,540399,Default Transition,Default Inference,,Arguing
432,540422,540424,540420,Default Transition,Default Rephrase,,Restating
433,540449,540453,540451,Default Transition,Default Rephrase,,Restating
434,540458,540460,540455,Default Transition,Default Rephrase,,Restating
435,540472,540474,540470,Default Transition,Default Conflict,,Disagreeing
436,540497,540499,540494,Default Transition,Default Inference,,Arguing
437,540484,540502,540501,Default Transition,Default Rephrase,,Restating
438,540377,540506,540504,Default Transition,Default Rephrase,,Restating
439,540423,540427,540425,Default Transition,Default Inference,,Arguing
440,540410,540429,540413,Default Transition,Default Inference,,Arguing
441,540442,540444,540440,Default Transition,Default Inference,,Arguing
442,540454,540457,540456,Default Transition,Default Rephrase,,Restating
443,540467,540471,540469,Default Transition,Default Rephrase,,Restating
444,540483,540485,540481,Default Transition,Default Inference,,Arguing
445,540496,540498,540495,Default Transition,Default Inference,,Arguing
446,540509,540510,540508,Default Transition,Default Conflict,,Disagreeing
447,540515,540517,540516,Default Transition,Default Inference,,Arguing
448,540523,540524,540522,Default Transition,Default Inference,,Arguing
449,540529,540531,540530,Default Transition,Default Inference,,Arguing
450,540546,540548,540547,Default Transition,Default Inference,,Arguing
451,540570,540572,540568,Default Transition,Default Inference,,Arguing
452,540584,540586,540582,Default Transition,Default Inference,,Arguing
453,540569,540571,540567,Default Transition,Default Inference,,Arguing
454,540583,540592,540581,Default Transition,Default Rephrase,,Restating
455,540591,540593,540590,Default Transition,Default Conflict,,Disagreeing
456,540609,540610,540608,Default Transition,Default Rephrase,,Restating
457,540624,540625,540623,Default Transition,Default Inference,,Arguing
458,540640,540648,540647,Default Transition,Default Rephrase,,Default Illocuting
459,540646,540649,540645,Default Transition,Default Inference,,Arguing
460,540655,540656,540654,Default Transition,Default Rephrase,,Restating
461,540598,540658,540657,Default Transition,Default Rephrase,,Restating
462,540603,540660,540659,Default Transition,Default Rephrase,,Restating
463,540692,540693,540691,Default Transition,Default Rephrase,,Restating
464,540755,540757,540756,Default Transition,Default Inference,,Arguing
465,540758,540760,540759,Default Transition,Default Conflict,,Challenging
466,540686,540762,540761,Default Transition,Default Rephrase,,Restating
467,540702,540765,540764,Default Transition,Default Rephrase,,Default Illocuting
468,540707,540767,540766,Default Transition,Default Inference,,Arguing
