,from,mid,last,I1,I2,predict,real
24,511195,511279,511190,creating innovative education like Denmark can only be done by local authorities,we should actually use this time to think differently about education and team up to create innovative education like Denmark,,Default Rephrase
25,511211,511406,511203,James Graham's mother is an office manager in a primary school up in North Nottinghamshire,James Graham's mother works in a school,,Default Rephrase
26,511264,511438,511257,There are big and small classes,James Graham thinks it is important to say that every local authority and every local school in every local authority is completely different,,Default Inference
27,511272,511440,511257,There are areas of great resource and areas of great deprivation,James Graham thinks it is important to say that every local authority and every local school in every local authority is completely different,,Default Inference
28,511285,511446,511280,headmasters and teachers know what's best for children in their schools,James Graham thinks it is incumbent on our politicians to empower headmasters and teachers,,Default Inference
29,511289,511449,511293,"James Graham doesn't necessarily see a need for a uniform, standardised national rollout","James Graham thinks the dates, times and methods need to be decided by the teachers",,Default Inference
30,511293,511451,511280,"James Graham thinks the dates, times and methods need to be decided by the teachers",James Graham thinks it is incumbent on our politicians to empower headmasters and teachers,,Default Rephrase
31,511297,511456,511302,James Graham really loves what Helle Thorning-Schmidt said about the using of cultural institutions to contribute to the positive learning of children,We have a whole generation here who are sat at home with these incredibly eager minds and desires to be learning,,Default Inference
32,511297,511457,511306,James Graham really loves what Helle Thorning-Schmidt said about the using of cultural institutions to contribute to the positive learning of children,James Graham thinks that's definitely one thing that the theatre industry in its lockdown has been reasonably good at,,Default Inference
33,511306,511461,511310,James Graham thinks that's definitely one thing that the theatre industry in its lockdown has been reasonably good at, Education departments have been continuing to function and work with teachers to get actors sat at home and musicians sat at home to inspire kids in that way,,Default Inference
34,511318,511466,511314,James Graham thinks it is incumbent upon us to find as inventive and as exciting a way to keep our kids stimulated as possible,unfortunately the theatre industry is not going to be able to open any time soon,,Default Inference
35,511314,511467,511310,unfortunately the theatre industry is not going to be able to open any time soon, Education departments have been continuing to function and work with teachers to get actors sat at home and musicians sat at home to inspire kids in that way,,Default Inference
36,511322,511474,511334,"It has turned into a bit of a mess, this 1st June announcement","on 1st June, at the moment anyway, it looks like there will be 1000, possibly 2000 schools that are not going to open",,Default Inference
37,511334,511477,511338,"on 1st June, at the moment anyway, it looks like there will be 1000, possibly 2000 schools that are not going to open",So this rollout that the government wanted is not going to be happening,,Default Inference
38,511346,511482,511342,"The measure was announced a few weeks ago, in response to scientific advice",Chris Philp thinks there was plenty of advance notice,,Default Inference
39,511503,511511,511509,Camila Tominey and her partner have half term and then one of my three children back at school and two at home,"just one of three children returning to school means one of Camilla Tominey and her partner needs to be at home with the children, so work can't go back to normal",,Default Inference
40,511494,511511,511509,"one of Camilla Tominey's children can go back to school, the eldest, year 6","just one of three children returning to school means one of Camilla Tominey and her partner needs to be at home with the children, so work can't go back to normal",,Default Inference
41,511509,511520,511517,"just one of three children returning to school means one of Camilla Tominey and her partner needs to be at home with the children, so work can't go back to normal","I had been asked if all of the children should go back, I would have said yes",,Default Inference
42,511540,511542,511529,"We have had a massive dossier for the eldest, washing hands, having temperature checks at the door and how they are going to be separated in class",Camilla Tominey has been impressed by schools how they are going to social distance the children,,Default Inference
43,511552,511555,511548,it is plausible children are not as infectious as adults,there is some lack of consensus over the evidence we have so far as to how infectious children are,,Default Inference
44,511557,511555,511548,it is perhaps not proven that children are less infectious than adults,there is some lack of consensus over the evidence we have so far as to how infectious children are,,Default Inference
45,511564,511566,511548,there have been a number of studies in Australia on child infectivity rates,there is some lack of consensus over the evidence we have so far as to how infectious children are,,Default Rephrase
46,511571,511574,511564,there have been studies in Finland on child infectivity rates,there have been a number of studies in Australia on child infectivity rates,,Default Rephrase
47,511578,511581,511571,studies of a child who interacted after coming back from the French Alps and having Coronavirus with hundreds of other children and didn't pass it on,there have been studies in Finland on child infectivity rates,,Default Rephrase
48,511529,511603,511533,Camilla Tominey has been impressed by schools how they are going to social distance the children,Camilla Tominey does or does not have some of the fears we have heard from teachers and some of the unions,,Default Inference
49,511501,511511,511509,Camilla Tominey has been asked by her school if she wants her child to go back and said yes,"just one of three children returning to school means one of Camilla Tominey and her partner needs to be at home with the children, so work can't go back to normal",,Default Inference
50,511599,511609,511585,there had been 70 cases of coronavirus following school returns in Northern France but most of them had been contracted outside of school,schools should go back in the way we have seen schools go back in parts of Europe,,Default Inference
51,511595,511612,511589,the foreign Minister pointed out in Northern France 1.4 million children had gone back,Camilla Tominey did a story with the BMA in week that cited the spike in Northern France,,Default Rephrase
52,511599,511613,511595,there had been 70 cases of coronavirus following school returns in Northern France but most of them had been contracted outside of school,the foreign Minister pointed out in Northern France 1.4 million children had gone back,,Default Rephrase
53,511856,511860,511852,the BMA softened their stance that children should not go back to school,the BMA were initially supporting unions in saying that children shouldn't go back to school,,Default Conflict
54,511879,511886,511868,the infection rate before the lockdown came in would have been higher than it is now,if Camilla Tominey's other two children were invited to go back to school she would say yes,,Default Inference
55,511896,511900,511864,Camilla Tominey is satisfied we have got to the point to reopen schools,from some of the evidence Camilla Tominey has seen she feels happy with the eldest children going back to school,,Default Rephrase
56,511909,511912,511905,we need to see that evidence,the government is going to be releasing more of their evidence tomorrow,,Default Rephrase
57,511916,511919,511909,"the evidence has not been transparent enough, which has led to this confusion",we need to see that evidence,,Default Inference
58,511932,511940,511924,xxx is because a decision to reopen schools in Denmark taken then,Denmark was the first country in Europe to reopen its schools,,Default Rephrase
59,511944,511947,511896,that informed government that it was the right time to say a phased return to school from June 1st,Camilla Tominey is satisfied we have got to the point to reopen schools,,Default Rephrase
60,511956,511959,511951,Denmark is a much smaller country,it is very hard to compare the UK with Denmark,,Default Inference
61,511963,511965,511951,we have a different political system in Denmark compared to the UK,it is very hard to compare the UK with Denmark,,Default Inference
62,511970,511973,511963,"Denmarks political system is based on much more compromise, consultation than the UK's political system",we have a different political system in Denmark compared to the UK,,Default Rephrase
63,511970,511986,511977,"Denmarks political system is based on much more compromise, consultation than the UK's political system","we could never send children back to school without deep consultation with teachers' unions, head teachers and also parents",,Default Inference
64,511997,511999,511990,the teacher's union invented new ways of going to school,how innovative the teacher's union suddenly became,,Default Rephrase
65,511983,512001,511977,"the teacher's unions, head teachers and parents did succeed in sending people back to school","we could never send children back to school without deep consultation with teachers' unions, head teachers and also parents",,Default Rephrase
66,512005,512008,511997,children had outdoor schools,the teacher's union invented new ways of going to school,,Default Rephrase
67,512016,512018,512005,you saw kids having education in our national stadium,children had outdoor schools,,Default Rephrase
68,512012,512021,511997, Copenhagen teamed up with cultural facilities all over town,the teacher's union invented new ways of going to school,,Default Inference
69,512012,512038,512016, Copenhagen teamed up with cultural facilities all over town,you saw kids having education in our national stadium,,Default Inference
70,512012,512041,512036, Copenhagen teamed up with cultural facilities all over town,five year old children are having their classroom in the National Museum of Art,,Default Inference
71,512026,512044,512016,the people going back to school in Denmark start out singing the national anthem,you saw kids having education in our national stadium,,Default Rephrase
72,512031,512046,512026,the people going back to school in Denmark had their class in the VIP lounge,the people going back to school in Denmark start out singing the national anthem,,Default Rephrase
73,512050,512053,511856,the BMA said schools should go back on 1 June,the BMA softened their stance that children should not go back to school,,Default Inference
74,512058,512062,512050,if it is safe to reopen schools on 1 June children should go back to school,the BMA said schools should go back on 1 June,,Default Inference
75,512084,512091,512088,department of education makes an announcement to tens of thousands of head teachers,department of education has made the announcement  publically,,Default Inference
76,512100,512103,512095,the unions have been on calls where scientific advisers have briefed them on science,the Unions have been closely consulted about the science,,Default Rephrase
77,512120,512122,512115,the geography and classroom layouts of schools are going to be different,the process of going back will be different for different schools,,Default Inference
78,512139,512146,512143,we can get children into empty cultural institutions,getting children into empty cultural institutions would be a great and enriching experience for them for sure,,Default Inference
79,512143,512162,512155,getting children into empty cultural institutions would be a great and enriching experience for them for sure,using these cultural empty institutions is definitely worth exploring,,Default Inference
80,512134,512162,512155,"sadly, many of our great institutions like theatres and museums are not being used",using these cultural empty institutions is definitely worth exploring,,Default Inference
81,512253,512256,512248,"Alfie asked if test, track and trace will be fully embedded by June 1st",XXX prompted Alfie's question in the first place,,Default Inference
82,512260,512272,512264,Alfie is a computer science student,Alfie's experience of software engineering is things do go wrong,,Default Inference
83,512268,512273,512264,They go often wrong and we are running out of time,Alfie's experience of software engineering is things do go wrong,,Default Rephrase
84,512264,512274,512248,Alfie's experience of software engineering is things do go wrong,XXX prompted Alfie's question in the first place,,Default Rephrase
85,512264,512281,512279,Alfie's experience of software engineering is things do go wrong,"If you want to launch an app on the same day that schools open, you are asking for the worst",,Default Inference
86,512286,512294,512291,it sounds like we are probably not going to get the app on June 1st,Fiona Bruce is just wondering if it is a question of interpretation whether the app will be available on June 1st,,Default Inference
87,512302,512332,512291,"You have Alfie saying ""when will test, track and trace be fully embedded"".",Fiona Bruce is just wondering if it is a question of interpretation whether the app will be available on June 1st,,Default Inference
88,512312,512334,512291,Chris Philp says that the app will be available on June 1st,Fiona Bruce is just wondering if it is a question of interpretation whether the app will be available on June 1st,,Default Inference
89,512320,512336,512291,Andy Burnham says the app will get going on June 1st but not  fully embedded,Fiona Bruce is just wondering if it is a question of interpretation whether the app will be available on June 1st,,Default Inference
90,512291,512343,512328,Fiona Bruce is just wondering if it is a question of interpretation whether the app will be available on June 1st,The opinion is XXX in Chris Philps crew,,Default Inference
91,512352,512400,512362,"the 25,000 people who are needed to operate the system and deliver 10,000 track and traces per day will be in place by 1st June","24,000 of those 25,000 have been recruited already and are in advance stages of training, so will be ready to deploy on 1st June",,Default Inference
92,512362,512408,512370,"24,000 of those 25,000 have been recruited already and are in advance stages of training, so will be ready to deploy on 1st June","the app will be a few weeks after that, which will further augment the system",,Default Inference
93,512370,512411,512378,"the app will be a few weeks after that, which will further augment the system",We will also learn a lot more about Coronavirus by using the app but we are going to be ready to go on 1st June,,Default Inference
94,512388,512415,512378,The app will really help us understand how COVID-19 spreads,We will also learn a lot more about Coronavirus by using the app but we are going to be ready to go on 1st June,,Default Inference
95,512396,512417,512388,"The app will help us control COVID-19, identify people who are this danger of catching COVID-19 and get them quarantined and then tested",The app will really help us understand how COVID-19 spreads,,Default Inference
96,512352,512444,512328,"the 25,000 people who are needed to operate the system and deliver 10,000 track and traces per day will be in place by 1st June",The opinion is XXX in Chris Philps crew,,Default Rephrase
97,512307,512470,512299,Andy Burnham has tried to give the government the benefit of the doubt,Andy Burnham has tried to work with the government,,Default Rephrase
98,512323,512471,512315,Andy Burnham has a lot of sympathy with the difficulty the government is dealing with,Andy Burnham understands how difficult the challenge is that the government is dealing with,,Default Rephrase
99,512347,512475,512339,we saw that sometimes the rhetoric is running ahead of the reality on testing,the first mistake the government is making is that sometimes the rhetoric is running ahead of the reality,,Default Inference
100,512355,512476,512339,we saw that sometimes the rhetoric is running ahead of the reality on PPE,the first mistake the government is making is that sometimes the rhetoric is running ahead of the reality,,Default Inference
101,512363,512477,512339,we are seeing that sometimes the rhetoric is running ahead of the reality again with this,the first mistake the government is making is that sometimes the rhetoric is running ahead of the reality,,Default Inference
102,512371,512478,512363,there will not be a world beating system in place by 1st June as the Prime Minister seemed to suggest yesterday,we are seeing that sometimes the rhetoric is running ahead of the reality again with this,,Default Inference
103,512379,512479,512371,"they just appointed the Chief Executive of Leeds about ten days, two weeks ago to try to integrate the local knowledge with this new national social distance testimony",there will not be a world beating system in place by 1st June as the Prime Minister seemed to suggest yesterday,,Default Inference
104,512387,512479,512371,integrating the local knowledge with the new national social distance testimony is complicated,there will not be a world beating system in place by 1st June as the Prime Minister seemed to suggest yesterday,,Default Inference
105,512441,512487,512418,the government really should have used the local expertise first and built from there,there is a lot of local expertise on these issues,,Default Inference
106,512460,512500,512456,the government being honest with people would be a better policy,the government should be honest with people,,Default Rephrase
107,512339,512504,512331,the first mistake the government is making is that sometimes the rhetoric is running ahead of the reality,the government seems to be repeating the same mistakes throughout this challenge,,Default Rephrase
108,512395,512526,512371,"it will be beginning by then, but it will nowhere near be in place",there will not be a world beating system in place by 1st June as the Prime Minister seemed to suggest yesterday,,Default Rephrase
109,512410,512532,512403,schools should only be really reopening when this was fully in place,1st June date is kind of going back to that conversation we were just having about schools,,Default Rephrase
110,512555,512557,512512,on a balance of probabilities overall after now two months at home with us trying to home educate children as well as we can while also working on balance children are better off in school,Camilla Tominey does or does not have any concerns about that,,Default Rephrase
111,512550,512560,512555,all of this is about assessing risk and weighing up the different probabilities,on a balance of probabilities overall after now two months at home with us trying to home educate children as well as we can while also working on balance children are better off in school,,Default Inference
112,512490,512567,512484,a well functioning track and trace system needs to be embedded and working well before schools can reopen,it sort of brings us full circle back in the first question with schools actually,,Default Inference
113,512539,512570,512555,considering the fact that they are missing out on so much of their education by being at home,on a balance of probabilities overall after now two months at home with us trying to home educate children as well as we can while also working on balance children are better off in school,,Default Inference
114,512531,512573,512555,considering all of the measures that schools have been put in place to make sure that children are safe,on a balance of probabilities overall after now two months at home with us trying to home educate children as well as we can while also working on balance children are better off in school,,Default Inference
115,512523,512576,512555,from the perspective of all of the evidence pointing to children not being badly affected if they do catch it and not seemingly being as infectious as adults,on a balance of probabilities overall after now two months at home with us trying to home educate children as well as we can while also working on balance children are better off in school,,Default Inference
116,512595,512597,512591,"reopening theatres is many, many months away",theatres were the first to close and will probably be the last to reopen,,Default Rephrase
117,512595,512605,512602,"reopening theatres is many, many months away",this length of closure could also be the closure of many small independent theatres,,Default Inference
118,512619,512622,512614,these companies can contribute substantially to the revitalising and the reopening of Britain,as the country starts to get back on its feet certain industries and certain companies are going to be able to contribute as profitable industries,,Default Rephrase
119,512631,512634,512626,we need to tell them the specific challenges that we are going to have,It is incumbent upon us to sometimes have these difficult conversations with government,,Default Inference
120,512638,512641,512631,in order that we can play an active role in reactivating the economy,we need to tell them the specific challenges that we are going to have,,Default Inference
121,512650,512651,512645,the test and trace app must roll out as effectively and as soon as possible for our safety,it is vital the test and trace app rolls out as effectively and as soon as possible,,Default Rephrase
122,512661,512655,512645,people need that sense of confidence brought by the test and traced app so we can beginning re-opening our economy,it is vital the test and trace app rolls out as effectively and as soon as possible,,Default Inference
123,512673,512679,512665,film and television is a vital sector,there will be a huge benefit to a test that can give an answer in 20 minutes for film and television production,,Default Inference
124,512677,512679,512665,film and television has gotten lots of people through the lockdown,there will be a huge benefit to a test that can give an answer in 20 minutes for film and television production,,Default Inference
125,512689,512691,512684,"for filming dramas the actors need to fight, hug and kiss each other, unless you want terrible dramas",people are going to start to see the autumn television schedules clearing themselves of British dramas,,Default Inference
126,512694,512696,512684,the film and television schedules matter,people are going to start to see the autumn television schedules clearing themselves of British dramas,,Default Rephrase
127,512701,512703,511666,the film and television sector is not the priority,film and television production is not the most important thing in the world,,Default Rephrase
128,511714,512713,511719,confidence that people can work safely is incredibly vital,people who are returning to our city and town centres can eat and drink and re-invest in the economies is incredibly vital,,Default Inference
129,512719,512726,512724,the lockdown came in time for the peak of the virus,there is an argument to say if we had locked down earlier whether people would have psychologically been ready for it and obeyed it,,Default Inference
130,512730,512732,512719,the peak of the virus follows the lockdown,the lockdown came in time for the peak of the virus,,Default Conflict
131,512736,512738,512730,lockdown doesn't coincide with the peak of the virus,the peak of the virus follows the lockdown,,Default Rephrase
132,511753,512742,512736,the peak follows the lockdown,lockdown doesn't coincide with the peak of the virus,,Default Rephrase
133,512673,512746,511666,film and television is a vital sector,film and television production is not the most important thing in the world,,Default Conflict
134,512832,512849,512844,we will be funding as we normally do,MPs will be doing their job,,Default Inference
135,512836,512849,512844,there will be different arrangements for voting,MPs will be doing their job,,Default Inference
136,512840,512849,512844,it will not be business as usual,MPs will be doing their job,,Default Inference
137,512858,512861,512852,it will be different when children go back to school,Claire Cooper was talking about her question of well being of children,,Default Inference
138,512865,512867,512858,children will be social distancing at school,it will be different when children go back to school,,Default Rephrase
139,512881,512884,512877,children miss that social interaction,children miss their friends,,Default Rephrase
140,512877,512886,512852,children miss their friends,Claire Cooper was talking about her question of well being of children,,Default Inference
141,512918,512921,512913,calls for the charity association for children of alcoholics are going through the roof,Camilla Tominey is quite involved with the charity association for the children of alcoholics,,Default Inference
142,512930,512933,512925,she was saying childline had been inundated,I did a show with [Unknown] the other day,,Default Inference
143,512918,512939,512937,calls for the charity association for children of alcoholics are going through the roof,we have to weigh up the risk here,,Default Inference
144,512930,512939,512937,she was saying childline had been inundated,we have to weigh up the risk here,,Default Inference
145,512944,512939,512937,there is a risk to children of perhaps contracting COVID-19 and spreading it to vulnerable adults,we have to weigh up the risk here,,Default Inference
146,512948,512950,512944,risking the spread of COVID-19 is not something we want,there is a risk to children of perhaps contracting COVID-19 and spreading it to vulnerable adults,,Default Inference
147,512955,512957,512937,what's the risk for vulnerable children for remaining in homes where they may be facing abuse or other problems,we have to weigh up the risk here,,Default Inference
148,512872,512967,512865,Camilla Tominey doesn't know how the curriculum for schools might match up to what it might have been if we were not in this situation,children will be social distancing at school,,Default Inference
149,512895,512973,512971,maybe these children in safe and loving homes can last until September with not too much damage,"children that have been all right at home and are in safe and loving homes, they have been okay",,Default Inference
150,512904,512977,512899,the government hoped that all vulnerable children and a lot of children of key workers would attend,the government expected 20% attendance levels at schools throughout lockdown,,Default Rephrase
151,512909,512979,512904,less than 2% of children attended,the government hoped that all vulnerable children and a lot of children of key workers would attend,,Default Inference
152,512963,512982,512955,"vulnerable children remaining at home greatly affect their well being, much, much more frankly than being socially distanced in a class room",what's the risk for vulnerable children for remaining in homes where they may be facing abuse or other problems,,Default Inference
153,512992,513002,512988,"for air passengers at the start of the pandemic, there was no point in having a quarantine",quarantine is going to come in now at the end of the Coronavirus pandemic rather than the beginning of it,,Default Inference
154,512995,513002,512988,quarantine for air passengers helped less than 0.5% of the case load,quarantine is going to come in now at the end of the Coronavirus pandemic rather than the beginning of it,,Default Inference
155,513000,513002,512988,"now the UK domestic case load of Coronavirus is going down and there is some prospect that air travel will go up, quarantine becomes relatively more important",quarantine is going to come in now at the end of the Coronavirus pandemic rather than the beginning of it,,Default Inference
156,513009,513012,513000,quarantine will become more significant as there is a prospect of air travel increasing,"now the UK domestic case load of Coronavirus is going down and there is some prospect that air travel will go up, quarantine becomes relatively more important",,Default Rephrase
157,513025,513028,513019,"the UK has 13,000 ventilators and never more than half have been in use",about eight weeks ago people said the UK would run out of the ventilators,,Default Conflict
158,513036,513039,513032,the UK have nearly doubled available intensive care beds and no more than half of those have ever been used by Coranavirus patients,people said the UK would run out of intensive care beds,,Default Conflict
159,513032,513041,513015,people said the UK would run out of intensive care beds,there were so much things people said would go wrong about Cornavirus in the UK that have happened to work out very well,,Default Inference
160,513019,513041,513015,about eight weeks ago people said the UK would run out of the ventilators,there were so much things people said would go wrong about Cornavirus in the UK that have happened to work out very well,,Default Inference
161,513025,513041,513015,"the UK has 13,000 ventilators and never more than half have been in use",there were so much things people said would go wrong about Cornavirus in the UK that have happened to work out very well,,Default Inference
162,513036,513041,513015,the UK have nearly doubled available intensive care beds and no more than half of those have ever been used by Coranavirus patients,there were so much things people said would go wrong about Cornavirus in the UK that have happened to work out very well,,Default Inference
163,513071,513074,513053,Chris Philp thinks the UK population can take collective national pride in the way we have worked together on the reponse to the Coronavirus pandemic,Chris Philp thinks that we can all collectively take some pride in the way as a nation we have come together during the Coronavirus pandemic,,Default Rephrase
164,513062,513077,513058,the Coronavirus Pandemic has been tough for all of the UK,the Coronavirus pandemic has been difficult for children and families and the arts sector and older people,,Default Rephrase
165,513058,513079,513053,the Coronavirus pandemic has been difficult for children and families and the arts sector and older people,Chris Philp thinks that we can all collectively take some pride in the way as a nation we have come together during the Coronavirus pandemic,,Default Inference
166,513065,513079,513053,the UK population have worked together during the Coronavirus pandemic,Chris Philp thinks that we can all collectively take some pride in the way as a nation we have come together during the Coronavirus pandemic,,Default Inference
167,513082,513079,513053,the UK population have been disciplined in response to the Coronavirus pandemic,Chris Philp thinks that we can all collectively take some pride in the way as a nation we have come together during the Coronavirus pandemic,,Default Inference
168,513196,513199,513191,the situation around schools reopening is a row that has been going on,the parents are probably a bit confused by the situation around schools reopening,,Default Inference
169,513216,513219,513211,parents will probably look most to head teachers for advice about safety of their kids,let head teachers sit in the driving seat and decide when it is safe to open school,,Default Inference
170,513229,513232,513224,the circumstances for reopening schools will differ from one place to another in terms of the teaching staff,reopening of schools should also be done in consultation with local councils,,Default Inference
171,513236,513239,513229,some of the teaching staff may be self-isolating,the circumstances for reopening schools will differ from one place to another in terms of the teaching staff,,Default Inference
172,513243,513245,513229,there may be issues the schools have to deal with when we look at the staff,the circumstances for reopening schools will differ from one place to another in terms of the teaching staff,,Default Rephrase
173,513250,513253,513243,there will be physical circumstances at the school,there may be issues the schools have to deal with when we look at the staff,,Default Rephrase
174,513262,513270,513267,near in the north of England we see a higher R number than in the south,you can't blame any council for taking a cautious approach,,Default Inference
175,513257,513276,513274,"the R rate, the R number, the re production number varies from one region to another",Andy Burnham says to government work in partnership with local councils,,Default Inference
176,513262,513279,513257,near in the north of England we see a higher R number than in the south,"the R rate, the R number, the re production number varies from one region to another",,Default Rephrase
177,513295,513298,513290,we have seen too much of teacher bashing over the last few weeks,let's get away from teacher bashing,,Default Rephrase
178,513303,513305,513290,the teachers have been working really hard through this period often teaching kids at home and being innovative in all the ways we would want them to be,let's get away from teacher bashing,,Default Inference
179,513196,513313,513203,the situation around schools reopening is a row that has been going on,Andy Burnham is not sure the row that has been going on around schools reopening helps parents,,Default Inference
180,513327,513330,513322,what we know and Helle Thorning-Schmidt knew very well when Helle Thorning-Schmidt was CEO of Save the Children is that if children don't go to school they basically forget everything they learned the full year,xxx is the consequence for children who can't go to school,,Default Rephrase
181,513327,513340,513338,what we know and Helle Thorning-Schmidt knew very well when Helle Thorning-Schmidt was CEO of Save the Children is that if children don't go to school they basically forget everything they learned the full year,the children losing a whole year of education have simply can't remember what they learned six months ago,,Default Inference
182,513338,513347,513344,the children losing a whole year of education have simply can't remember what they learned six months ago,"Helle Thorning-Schmidt is a little bit worried that if the lockdown lasts too long, we will be taking a little bit of the children's future twice",,Default Inference
183,513351,513354,513344,"first we will take almost a year of the children's education and then we are also handing the children a very, very large bill for a lockdown which has become very, very expensive","Helle Thorning-Schmidt is a little bit worried that if the lockdown lasts too long, we will be taking a little bit of the children's future twice",,Default Rephrase
184,513351,513361,513358,"first we will take almost a year of the children's education and then we are also handing the children a very, very large bill for a lockdown which has become very, very expensive",there are the balances between children's future and the duration  of the lockdown,,Default Inference
185,513370,513372,513365,the only way the balances between children's future and the duration of the lockdown can be solved is by being pragmatic,Helle Thorning-Schmidt would again say that find a good balance with also the teachers and take the heat out of it,,Default Rephrase
186,513383,513386,513377,xxx is Claire's view,Claire thinks of what she has heard from Helle Thorning-Schmidt that xxx,,Default Rephrase
187,513390,513393,513383,Claire Cooper quite likes Helle Thorning-Schmidt's idea of using venues creative leave,xxx is Claire's view,,Default Rephrase
188,513402,513405,513397,it is children from reception right up to the 6 formers that have lost out on their 'A' levels and are actually grieveing because of that,what Claire Cooper fears is that the value of education will have been taken away from children and Claire Cooper thinks this is every child,,Default Inference
189,513413,513416,513409,Claire Cooper thinks the value and the trust of the way that schools were before they broke up in the middle of March has disappeared,what Claire Cooper fears is that there will be a distrust about social contract,,Default Rephrase
190,513413,513423,513420,Claire Cooper thinks the value and the trust of the way that schools were before they broke up in the middle of March has disappeared,Claire Cooper feels profoundly sad and worried for children who cannot go to school since the middle of March,,Default Inference
191,513437,513440,513432,Claire Cooper can see the psychological damage that potentially is happening to a whole generation of children,Claire Cooper doesn't work in education,,Default Conflict
192,513334,513340,513338,we will have children for practically losing a whole year of education,the children losing a whole year of education have simply can't remember what they learned six months ago,,Default Inference
193,513365,513444,513358,Helle Thorning-Schmidt would again say that find a good balance with also the teachers and take the heat out of it,there are the balances between children's future and the duration  of the lockdown,,Default Rephrase
194,513754,513757,513746,the children are not test subjects,"it is safe to go back to school, why isn't it safe for the house of Parliament or are our children test subjects",,Default Rephrase
195,513761,513764,513754,"from 2nd June, so that's a day later, these arrangements to vote remotely are being ended",the children are not test subjects,,Default Inference
196,513783,513785,513778,let's remember Westminster was a hot bed for the spread of the virus a few weeks ago,for Parliament to vote to come become completely sets a poor example to the count reach,,Default Inference
197,513801,513808,513805,it was a really poor decision taken by MPs,this weekend we are not asking schools to come fully back,,Default Inference
198,513805,513809,513774,this weekend we are not asking schools to come fully back,we are asking them to come back on an interim basis,,Default Inference
199,513797,513818,513816,things like bill and ledge late I have submit ease haven't been sitting of,"the let's get Parliament working and showing leadership doing what we are asking everybody else to do, which is go to work if you safely can",,Default Inference
200,513827,513830,513823,the premiere work place in the country isn´t taking a safety first approach,it is not acceptable,,Default Inference
201,513862,513872,513870,South Korea is always cited as the great example of contact tracing,South Korea had a flare up in the night club at the beginning of the month,,Default Inference
