from,mid,last,L,I,predict,real
511587,511588,511589,Camilla Tominey : I did a story with the BMA in week that cited the spike in Northern France,Camilla Tominey did a story with the BMA in week that cited the spike in Northern France,,Asserting
511592,511593,511595,Camilla Tominey : the foreign Minister pointed out there 1.4 million children had gone back,the foreign Minister pointed out in Northern France 1.4 million children had gone back,,Asserting
511596,511597,511599,Camilla Tominey : There had been 70 cases but most of them had been contracted outside of school,there had been 70 cases of coronavirus following school returns in Northern France but most of them had been contracted outside of school,,Asserting
511600,511601,511585,Chief Scientist of the WHO : schools should go back in the way we have seen schools go back in parts of Europe,schools should go back in the way we have seen schools go back in parts of Europe,,Default Illocuting
511850,511851,511852,Fiona Bruce : the BMA were initially supporting unions in saying that children shouldn't go back,the BMA were initially supporting unions in saying that children shouldn't go back to school,,Asserting
511854,511855,511856,Camilla Tominey :  they softened that stance,the BMA softened their stance that children should not go back to school,,Asserting
511862,511863,511864,Camilla Tominey : From some of the evidence I have seen I feel happy with the eldest going back,from some of the evidence Camilla Tominey has seen she feels happy with the eldest children going back to school,,Asserting
511866,511867,511868,Camilla Tominey : If the other two were invited to go back I would say yes,if Camilla Tominey's other two children were invited to go back to school she would say yes,,Asserting
511871,511872,511873,Camilla Tominey : I have sympathy with teachers,I have sympathy with teachers,,Asserting
511877,511878,511879,Camilla Tominey : the infection rate before the lockdown came in would have been higher than it is now,the infection rate before the lockdown came in would have been higher than it is now,,Asserting
511881,511882,511883,Camilla Tominey :  teachers could be more at risk going to the supermarket than into classrooms,teachers could be more at risk going to the supermarket than into classrooms,,Asserting
511889,511890,511891,Camilla Tominey : measures should be taken,measures to control the infection rate should be taken,,Asserting
511894,511895,511896,Camilla Tominey : I am satisfied we have got to the point,Camilla Tominey is satisfied we have got to the point to reopen schools,,Asserting
511903,511904,511905,Camilla Tominey : they are going to be releasing more of their evidence tomorrow,the government is going to be releasing more of their evidence tomorrow,,Asserting
511907,511908,511909,Camilla Tominey : We need to see that evidence,we need to see that evidence,,Asserting
511914,511915,511916,"Camilla Tominey : it's not been transparent enough, which has led to this confusion","the evidence has not been transparent enough, which has led to this confusion",,Asserting
511922,511923,511924,Fiona Bruce : Denmark was the first country in Europe to reopen its schools,Denmark was the first country in Europe to reopen its schools,,Asserting
511930,511931,511932,Fiona Bruce : why was a decision taken then,xxx is because a decision to reopen schools in Denmark taken then,,Pure Questioning
511935,511936,511937,Fiona Bruce : how has it worked,xxx is how the reopening of schools in Denmark has worked,,Pure Questioning
511942,511943,511944,Camilla Tominey :  that informed government that it was the right time to say a phased return to school from June 1st,that informed government that it was the right time to say a phased return to school from June 1st,,Asserting
511949,511950,511951,Helle Thorning-Schmidt :  it is very hard to compare the UK with Denmark,it is very hard to compare the UK with Denmark,,Asserting
511954,511955,511956,Helle Thorning-Schmidt : Denmark is a much smaller country,Denmark is a much smaller country,,Asserting
511961,511962,511963,Helle Thorning-Schmidt : We have a different political system,we have a different political system in Denmark compared to the UK,,Asserting
511968,511969,511970,"Helle Thorning-Schmidt : based on much more compromise, consultation","Denmarks political system is based on much more compromise, consultation than the UK's political system",,Asserting
511975,511976,511977,"Helle Thorning-Schmidt :  we could never send children back to school without deep consultation with teachers' unions, head teachers and also parents","we could never send children back to school without deep consultation with teachers' unions, head teachers and also parents",,Asserting
511981,511982,511983,Helle Thorning-Schmidt : they did succeed in sending people back,"the teacher's unions, head teachers and parents did succeed in sending people back to school",,Asserting
511988,511989,511990,Helle Thorning-Schmidt : how innovative they suddenly all became,how innovative the teacher's union suddenly became,,Asserting
511995,511996,511997,Helle Thorning-Schmidt : They invented new ways of going to school,the teacher's union invented new ways of going to school,,Asserting
512003,512004,512005,Helle Thorning-Schmidt : They had outdoor schools,children had outdoor schools,,Asserting
512010,512011,512012,Helle Thorning-Schmidt :  Copenhagen teamed up with cultural facilities all over town, Copenhagen teamed up with cultural facilities all over town,,Asserting
512014,512015,512016,Helle Thorning-Schmidt : you saw kids having education in our national stadium,you saw kids having education in our national stadium,,Asserting
512024,512025,512026,Helle Thorning-Schmidt : They start out singing the national anthem,the people going back to school in Denmark start out singing the national anthem,,Asserting
512029,512030,512031,Helle Thorning-Schmidt : they had their class in the VIP lounge,the people going back to school in Denmark had their class in the VIP lounge,,Asserting
512034,512035,512036,Helle Thorning-Schmidt :  five year olds having their classroom in the National Museum of Art,five year old children are having their classroom in the National Museum of Art,,Asserting
512048,512049,512050,Camilla Tominey : said schools should go back on 1 June,the BMA said schools should go back on 1 June,,Asserting
512056,512057,512058,Camilla Tominey :  if it is safe to do so,if it is safe to reopen schools on 1 June children should go back to school,,Asserting
512064,512065,512066,Fiona Bruce : You have the department of education,Chris Philp has the department of education,,Asserting
512068,512069,512070,Fiona Bruce : That's exactly what they can do,that's exactly what department of education can do,,Asserting
512075,512076,512077,Chris Philp : the only way to tell schools was to do it through a press conference,the only way to tell schools was through a press conference,,Asserting
512082,512083,512084,Chris Philp : you make an announcement to tens of thousands of head teachers,department of education makes an announcement to tens of thousands of head teachers,,Asserting
512086,512087,512088,Chris Philp : you have made it publically,department of education has made the announcement  publically,,Asserting
512093,512094,512095,Chris Philp : The Unions have been closely consulted about the science,the Unions have been closely consulted about the science,,Asserting
512098,512099,512100,Chris Philp : They have been on calls where scientific advisers have briefed them on that,the unions have been on calls where scientific advisers have briefed them on science,,Asserting
512105,512106,512107,Chris Philp : I would urge teaching unions and their members to positively and constructively engage with schools to find safe ways of going back,Chris Philp would urge teaching unions and their members to positively and constructively engage with schools to find safe ways of going back,,Asserting
512113,512114,512115,James Graham :  that will be different for different schools,the process of going back will be different for different schools,,Asserting
512118,512119,512120,Chris Philp : their geography and classroom layouts are going to be different,the geography and classroom layouts of schools are going to be different,,Asserting
512124,512125,512126,Chris Philp : The important thing is no children get left behind,the important thing is no children get left behind,,Asserting
512132,512133,512134,"James Graham :  sadly, many of our great institutions likes theatres and museums are not being used","sadly, many of our great institutions like theatres and museums are not being used",,Asserting
512137,512138,512139,Chris Philp : we can get children into them,we can get children into empty cultural institutions,,Asserting
512141,512142,512143,Chris Philp : that would be a great and enriching experience for them for sure,getting children into empty cultural institutions would be a great and enriching experience for them for sure,,Asserting
512153,512154,512155,James Graham : using these cultural empty institutions is definitely worth exploring,using these cultural empty institutions is definitely worth exploring,,Asserting
512242,512243,512244,"Fiona Bruce : Are you confident that it will be the test, track and trace will be fully embedded by June 1st","Chris Philp is / is not confident that it will be the test, track and trace will be fully embedded by June 1st",,Pure Questioning
512246,512247,512248,Fiona Bruce : What prompted your question in the first place,XXX prompted Alfie's question in the first place,,Pure Questioning
512251,512252,512253,"Fiona Bruce : Alfie, this was your question","Alfie asked if test, track and trace will be fully embedded by June 1st",,Asserting
512258,512259,512260,Alfie   :  I am a computer science student,Alfie is a computer science student,,Asserting
512262,512263,512264,Alfie   : My experience of software engineering is things do go wrong,Alfie's experience of software engineering is things do go wrong,,Asserting
512266,512267,512268,Alfie   : They go often wrong and we are running out of time,They go often wrong and we are running out of time,,Asserting
512277,512278,512279,"Alfie   : If you want to launch an app on the same day that schools open, you are asking for the worst","If you want to launch an app on the same day that schools open, you are asking for the worst",,Asserting
512284,512285,512286,Fiona Bruce : it sounds like we are probably not going to get the app on June 1st,it sounds like we are probably not going to get the app on June 1st,,Asserting
512289,512290,512291,Fiona Bruce : I am just wondering if it is a question of interpretation,Fiona Bruce is just wondering if it is a question of interpretation whether the app will be available on June 1st,,Asserting
512298,512300,512302,"Fiona Bruce : You have Alfie saying ""when will test, track and trace be fully embedded"".","You have Alfie saying ""when will test, track and trace be fully embedded"".",,Asserting
512308,512311,512312,Fiona Bruce : You are saying June 1st,Chris Philp says that the app will be available on June 1st,,Asserting
512316,512318,512320,"Fiona Bruce : You have Andy saying it will get going on June 1st but fully embedded, all bells and whistles, no",Andy Burnham says the app will get going on June 1st but not  fully embedded,,Asserting
512324,512326,512328,Fiona Bruce : Which is it in your crew,The opinion is XXX in Chris Philps crew,,Pure Questioning
512348,512351,512352,"Chris Philp : the 25,000 people who are needed to operate the system and deliver 10,000 track and traces per day will be in place by 1st June","the 25,000 people who are needed to operate the system and deliver 10,000 track and traces per day will be in place by 1st June",,Asserting
512358,512360,512362,"Chris Philp : 24,000 of those 25,000 have been recruited already and are in advance stages of training, so will be ready to deploy on 1st June","24,000 of those 25,000 have been recruited already and are in advance stages of training, so will be ready to deploy on 1st June",,Asserting
512366,512368,512370,"Chris Philp :  the app will be a few weeks after that, which will further augment the system","the app will be a few weeks after that, which will further augment the system",,Asserting
512374,512376,512378,Chris Philp : We will also learn a lot more about Coronavirus by using it but we are going to be ready to go on 1st June,We will also learn a lot more about Coronavirus by using the app but we are going to be ready to go on 1st June,,Asserting
512384,512386,512388,Chris Philp : It will really help us understand how the disease spreads,The app will really help us understand how COVID-19 spreads,,Asserting
512392,512394,512396,"Chris Philp : It will help us control it, identify people who are this danger of catching it and get them quarantined and then tested","The app will help us control COVID-19, identify people who are this danger of catching COVID-19 and get them quarantined and then tested",,Asserting
512295,512297,512299,Andy Burnham : I have tried to work with the government,Andy Burnham has tried to work with the government,,Asserting
512303,512305,512307,Andy Burnham : I have tried to give them the benefit of the doubt,Andy Burnham has tried to give the government the benefit of the doubt,,Asserting
512310,512313,512315,Andy Burnham : I understand how difficult the challenge is that they are dealing with,Andy Burnham understands how difficult the challenge is that the government is dealing with,,Asserting
512319,512321,512323,Andy Burnham : I have a lot of sympathy with that,Andy Burnham has a lot of sympathy with the difficulty the government is dealing with,,Asserting
512327,512329,512331,Andy Burnham : they seem to me to be repeating the same mistakes throughout this,the government seems to be repeating the same mistakes throughout this challenge,,Asserting
512335,512337,512339,Andy Burnham : The first is that sometimes the rhetoric is running ahead of the reality,the first mistake the government is making is that sometimes the rhetoric is running ahead of the reality,,Asserting
512342,512345,512347,Andy Burnham : We saw that on testing,we saw that sometimes the rhetoric is running ahead of the reality on testing,,Asserting
512350,512353,512355,Andy Burnham : We saw it on PPE,we saw that sometimes the rhetoric is running ahead of the reality on PPE,,Asserting
512359,512361,512363,Andy Burnham : I think we are seeing it again with this,we are seeing that sometimes the rhetoric is running ahead of the reality again with this,,Asserting
512367,512369,512371,Andy Burnham : There will not be a world beating system in place by 1st June as the Prime Minister seemed to suggest yesterday,there will not be a world beating system in place by 1st June as the Prime Minister seemed to suggest yesterday,,Asserting
512375,512377,512379,"Andy Burnham : They just appointed the Chief Executive of Leeds about ten days, two weeks ago to try to integrate the local knowledge with this new national social distance testimony","they just appointed the Chief Executive of Leeds about ten days, two weeks ago to try to integrate the local knowledge with this new national social distance testimony",,Asserting
512383,512385,512387,Andy Burnham :  It is complicated,integrating the local knowledge with the new national social distance testimony is complicated,,Asserting
512391,512393,512395,"Andy Burnham : it will be beginning by then, but it will nowhere near be in place","it will be beginning by then, but it will nowhere near be in place",,Asserting
512399,512401,512403,Andy Burnham : I just feel that 1st June date is kind of going back to that conversation we were just having about schools,1st June date is kind of going back to that conversation we were just having about schools,,Asserting
512407,512409,512410,Andy Burnham : Really schools should only be really reopening when this was fully in place,schools should only be really reopening when this was fully in place,,Asserting
512414,512416,512418,Andy Burnham : theres lay lot of local expertise on these issues,there is a lot of local expertise on these issues,,Asserting
512421,512424,512426,Andy Burnham : throughout this the government has almost kind of disregarded that and kind of rushed to stand up its own national systems and sign contracts with five entries and then try to build something from scratch,throughout this the government has almost kind of disregarded that and kind of rushed to stand up its own national systems and sign contracts with five entries and then try to build something from scratch,,Asserting
512429,512432,512434,Andy Burnham : There is some doubts about the quality of the training being provided,there is some doubts about the quality of the training being provided,,Asserting
512437,512439,512441,Andy Burnham : they really should have used the local expertise first and built from there,the government really should have used the local expertise first and built from there,,Asserting
512445,512447,512448,Andy Burnham : I just feel the government is making problems for itself by not sort of learning from some of the earlier mistakes and then going down a different path,the government is making problems for itself by not sort of learning from some of the earlier mistakes and then going down a different path,,Asserting
512450,512451,512452,Andy Burnham : I think we are getting there,we are getting there,,Asserting
512454,512455,512456,Andy Burnham : I think the government should be honest with people,the government should be honest with people,,Asserting
512458,512459,512460,Andy Burnham : That would be a better policy,the government being honest with people would be a better policy,,Asserting
512462,512463,512464,Andy Burnham :  It is going to be middle June before this system is up and running,it is going to be middle June before this system is up and running,,Asserting
512480,512482,512484,Fiona Bruce : it sort of brings us full circle back in the first question with schools actually,it sort of brings us full circle back in the first question with schools actually,,Asserting
512493,512495,512497,Fiona Bruce : you are really keen for your kids to go back to school,Camilla Tominey is really keen for her kids to go back to school,,Asserting
512501,512503,512505,"Fiona Bruce : The system is going to start on June 1st, track and trace","The system is going to start on June 1st, track and trace",,Asserting
512508,512510,512512,Fiona Bruce : Do you have any concerns about that,Camilla Tominey does or does not have any concerns about that,,Pure Questioning
512519,512521,512523,Camilla Tominey : from the perspective of all of the evidence pointing to children not being badly affected if they do catch it and not seemingly being as infectious as adults,from the perspective of all of the evidence pointing to children not being badly affected if they do catch it and not seemingly being as infectious as adults,,Asserting
512527,512529,512531,Camilla Tominey : considering all of the measures that schools have been put in place to make sure that children are safe,considering all of the measures that schools have been put in place to make sure that children are safe,,Asserting
512535,512537,512539,Camilla Tominey : considering the fact that they are missing out on so much of their education by being at home,considering the fact that they are missing out on so much of their education by being at home,,Asserting
512548,512549,512550,Camilla Tominey : all of this is about assessing risk and weighing up the different probabilities,all of this is about assessing risk and weighing up the different probabilities,,Asserting
512553,512554,512555,Camilla Tominey : on a balance of probabilities overall after now two months at home with us trying to home educate them as well as we can while also working I think that on balance my children are better off in school,on a balance of probabilities overall after now two months at home with us trying to home educate children as well as we can while also working on balance children are better off in school,,Asserting
512579,512578,512490,Member SAGE : a well functioning track and trace system needs to be embedded and working well before schools can reopen,a well functioning track and trace system needs to be embedded and working well before schools can reopen,,Asserting
512589,512590,512591,Gerald Amin : Theatres were the first to close and will probably be the last to reopen,theatres were the first to close and will probably be the last to reopen,,Asserting
512593,512594,512595,"Gerald Amin : which is many, many months away","reopening theatres is many, many months away",,Asserting
512600,512601,512602,Gerald Amin : could also be the closure of many small independent theatres,this length of closure could also be the closure of many small independent theatres,,Asserting
512607,512608,512609,Gerald Amin : Do you think the government should help by bailing us out,the panel do or do not think the government should help by bailing us out,,Pure Questioning
512612,512613,512614,James Graham : as the country starts to get back on its feet certain industries and certain companies are going to have to -- they can contribute as profitable industries,as the country starts to get back on its feet certain industries and certain companies are going to be able to contribute as profitable industries,,Asserting
512617,512618,512619,James Graham : can contribute substantially to the revitalising and the reopening of Britain,these companies can contribute substantially to the revitalising and the reopening of Britain,,Asserting
512624,512625,512626,James Graham : It is incumbent upon us to sometimes have these difficult conversations with government,It is incumbent upon us to sometimes have these difficult conversations with government,,Asserting
512629,512630,512631,James Graham : we need to tell them the specific challenges that we are going to have,we need to tell them the specific challenges that we are going to have,,Asserting
